# PMU_padrao on SAPHO - cocotb fast sim results
# A=1 f1=62 Hz f0=60 Hz Fs=1920 Hz Fr=60 Hz phi=0.7853981634 rad N=1600 Q20
# TVE compares y_hw[n] against X[n-82] (FIR group delay); '-' while n < 82
#      n         x[n]        Re_hw        Im_hw       abs_hw     fase_deg        fe_hw     ROCOF_hw    TVE_pct
     213    0.9998072   -0.0500269    0.6994953    0.7012820    94.090746   61.9546051    0.0644989    0.82590
     214    0.9753423   -0.0546331    0.6987429    0.7008754    94.470733   62.0266113    0.0720062    0.88271
     215    0.9108638   -0.0593910    0.6980057    0.7005278    94.863397   62.0943909    0.0677795    0.93062
     216    0.8090170   -0.0642719    0.6973362    0.7002918    95.265947   62.1467896    0.0523987    0.96418
     217    0.6739801   -0.0692272    0.6967783    0.7002088    95.673904   62.1755219    0.0287323    0.97921
     218    0.5112931   -0.0741949    0.6963501    0.7002916    96.081822   62.1754761   -0.0000458    0.97423
     219    0.3276302   -0.0791121    0.6960459    0.7005274    96.484368   62.1468353   -0.0286407    0.94967
     220    0.1305262   -0.0839214    0.6958332    0.7008756    96.876981   62.0942078   -0.0526276    0.90842
     221   -0.0719327   -0.0885859    0.6956644    0.7012820    97.256983   62.0264435   -0.0677643    0.85510
     222   -0.2714404   -0.0930862    0.6954775    0.7016794    97.623450   61.9545593   -0.0718842    0.79699
     223   -0.4598124   -0.0974312    0.6952085    0.7020027    97.977854   61.8899536   -0.0646057    0.74366
     224   -0.6293204   -0.1016521    0.6948051    0.7022018    98.323498   61.8432922   -0.0466614    0.70535
     225   -0.7730105   -0.1057987    0.6942253    0.7022408    98.665104   61.8221741   -0.0211182    0.69168
     226   -0.8849876   -0.1099348    0.6934566    0.7021166    99.008226   61.8296814    0.0075073    0.70586
     227   -0.9606581   -0.1141205    0.6925087    0.7018488    99.357831   61.8647308    0.0350494    0.74419
     228   -0.9969173   -0.1184111    0.6914129    0.7014792    99.718170   61.9217682    0.0570374    0.79779
